id,post_from_id,post_from,post_updated_time,post_created_time,post_link,post_message,post_name,post_type,post_likes,post_shares,post_comments,post_reactions
1,126709274050415,爆笑影片集中營,2017-10-16 14:00:01,2017-10-16 14:00:00,http://www.cocohk.net/post/628157?r=z155423,根據推特帳號Osami47上傳的照片，對很多人來說搞笑好像是狗狗的專利，狗狗的個性比較單純，常常都是直線思考的牠們，在日常生活中都會做出許多爆笑的糗事，讓主人笑的不要不要的！比起汪汪，喵皇好像比較不愛搞笑，很多貓咪比較孤僻冷漠，也表現的非常高貴，感覺搞笑這種丟臉的事情牠們是根本不會做的！如果你現在還這樣想，看到以下這隻爆笑的可愛貓咪，應該會對貓咪改觀喔！,衣服折一半喵皇不見了，發現牠被卡住了後，仔細一看牠的表情...網友全笑炸啦！,link,0,0,0,0
2,118800594980610,女人要更愛自己,2017-10-13 07:40:01,2017-10-13 07:40:01,https://ipetgroup.com/Article/8300,"主人表示好無奈,小編覺得好羨慕XD 
#眾多萌寵齊聚一堂 
#狗狗貓貓雞雞兔兔看到飽 
加入Line接收每日精選的動物訊息：
➤https://goo.gl/1vwmvd",「你們一定要都擠在我身上嗎？！」這幾組毛孩「神複製」的超萌照片，真的讓人看了完全融化！,link,0,0,0,0
3,126709274050415,爆笑影片集中營,2017-10-11 10:00:00,2017-10-11 10:00:00,http://www.cocomy.net/post/622518?r=z155423,大部分的毛孩都超貪吃，但有沒有看過貪吃不成還會擺臭臉的貓咪？根據instagram/sina_heek分享：一大清早，幫貓咪準備了早餐，但牠臉卻像大便那麼臭，沒想到原因真的超可愛超爆笑的！奴才真的很過份耶～～～,早餐時間喵皇不知道為什麼臉超臭，沒想到往奴才那邊一看....真的笑到噴淚！（圖+影片）,link,0,0,0,0
4,704654116310577,黃淑如,2017-10-07 00:07:10,2017-10-07 00:07:10,https://www.facebook.com/photo.php?fbid=1335034833272499&set=p.1335034833272499&type=3,"貓咪送養(臺中)
我的媽咪是流浪貓在半個月前被狗狗咬傷，不幸過世，留下年幼的我們流浪在外，希望有緣人給牠一個家~
Ps:因本人家中有5隻狗，一隻貓，沒有能力在養牠，希望大家幫幫忙，謝謝~",,photo,0,0,0,0
5,199677588442,大新聞,2017-10-03 13:00:12,2017-10-03 13:00:12,https://www.facebook.com/match.tw/videos/1438918136163438/,"這隻貓咪被送到寵物醫院時，害醫生笑到差點送醫，一看就不是什麼正經貓！～

? 全省大齡優質男女交友結婚保證方案!請由以下連結網址留下資料，全台的紅娘會為您服務。留下資料，才有機會遇見你的另一半。https://goo.gl/8vxFq6",單身關愛社 (未婚 交友 婚友 聯誼),video,0,0,0,0
6,572591939549589,Smartpet 購,2017-10-03 19:30:00,2017-10-03 19:30:00,https://www.facebook.com/SmartpetGo/photos/a.579678618840921.1073741828.572591939549589/994260080716104/?type=3,"5個跡象表明貓咪壓力過大

和人類一樣貓咪也會受到焦慮和恐懼的影響而壓力過大，但是貓咪通常會選擇把自己的壓力隱藏起來不讓別人發現。更為嚴重的是，如果貓咪長期受慢性壓力的影響會抑制貓咪自身的免疫反應，從而出現各種身體疾病。 

今天來為大家介紹下貓咪壓力過大的5個跡象，幫助確認貓咪是否壓力過大並早日為貓咪尋求必要的治療。

一、在貓砂盒外大小便        

很多主人看到貓咪突然不在貓砂盒裡面大小便的第一反應是罵貓咪，但是，這可能是貓咪在用另一種方​​式告訴你一些事情。貓咪可能是想告訴親們它因為新擺放的家具、貓砂盒附近噪音太大、貓砂盒不乾淨或其他因素而感到壓力很大或恐懼。

當然，也有可能是因為貓咪身體出現了潛在的健康問題引起不當排尿，如果是這種情況的話建議馬上送寵物醫院或諮詢寵物醫生他們會幫助解決問題並提供適當的建議。

二、突然食慾不振        

貓咪不會像我們人類一樣為了某種目的（比如減肥）而去禁食或節食，如果主人們的貓咪突然對食物失去了興趣或者乾脆不再吃東西了，那麼這很有可能就是貓咪壓力過大或是潛在的身體健康問題引起的。

三、自我孤立起來（或躲藏起來）        

貓咪經常會被貼上冷漠的動物、高冷、高傲、不合群、不和其他寵物或人類互動等標籤，但對於大多數的貓咪來說事實並非如此。事實上，貓咪出現持續的孤立行為（或躲藏行為）是貓咪正在遭受壓力和痛苦的共同標誌。如過主人們的貓咪突然這樣了建議帶去寵物醫生那裡檢查下出現這種怪異行為背後的真正原因。

四、一直舔身體的某個地方        

貓咪的梳洗打扮和一直舔身體的某個地方是有區別的。後者表明貓咪身體的某一地方出現了問題，這使它很痛苦。如果有這種情況出現最好也是馬上帶去寵物醫生那裡作做下檢查。

五、突然對人和其他動物變的有攻擊性        

突然對人和其他動物變的有攻擊性也是貓咪壓力太大或身體出現毛病的表現。建議主人們在貓咪身體進一步惡化前諮詢下寵物醫生或帶貓咪去做下身體檢查。

如何幫助貓咪緩解壓力
         
以下是一些可以幫助貓咪緩解壓力的小提醒：

經常和貓咪一起玩耍或鍛鍊
比如玩「追逐玩具老鼠」或「捕捉逗貓棒的羽毛」這樣的體育活動，對於貓咪來說是一種很好的減壓方式。

為貓咪創造一片安全區
在家中為貓咪留出一個安全的區域或秘密的藏身地，讓貓咪在碰到高壓力事件的時候可以躲起來。比如舉辦家庭聚會的時候或出現其他會嚇到貓咪的事情的時候貓咪可以安心的躲起來。

為貓咪選擇高質量的貓糧 
貓咪的飲食是它健康和幸福的重要組成部分。如果貓咪各個階段的飲食和生活方式沒有適當的平衡，那麼它可能會出現一些無法預料的後果，從而導致貓咪焦慮和壓力。

來粉絲團按讚點關注 活動好文通通不錯過　
更多百科趣聞都有收錄在Smartpet喔!
還等什麼！
快來下載免費【Smartpet】APP: https://goo.gl/tPaQ9t
好物盡在 【Smartpet 購】https://goo.gl/GdHJyk",Smartpet 購貼文的照片,photo,0,1,0,0
7,108853872503211,單身關愛社 (未婚 交友 婚友 聯誼),2017-10-03 13:00:11,2017-10-03 13:00:11,https://www.facebook.com/match.tw/videos/1438918136163438/,"這隻貓咪被送到寵物醫院時，害醫生笑到差點送醫，一看就不是什麼正經貓！～

? 全省大齡優質男女交友結婚保證方案!請由以下連結網址留下資料，全台的紅娘會為您服務。留下資料，才有機會遇見你的另一半。https://goo.gl/8vxFq6",單身關愛社 (未婚 交友 婚友 聯誼),video,0,0,0,0
8,474104872603374,行動生活 APP,2017-10-03 13:00:10,2017-10-03 13:00:10,https://www.facebook.com/match.tw/videos/1438918136163438/,"這隻貓咪被送到寵物醫院時，害醫生笑到差點送醫，一看就不是什麼正經貓！～

? 全省大齡優質男女交友結婚保證方案!請由以下連結網址留下資料，全台的紅娘會為您服務。留下資料，才有機會遇見你的另一半。https://goo.gl/8vxFq6",單身關愛社 (未婚 交友 婚友 聯誼),video,0,0,0,1
9,474262575921330,超便宜特賣會,2017-10-03 13:00:12,2017-10-03 13:00:12,https://www.facebook.com/match.tw/videos/1438918136163438/,"這隻貓咪被送到寵物醫院時，害醫生笑到差點送醫，一看就不是什麼正經貓！～

? 全省大齡優質男女交友結婚保證方案!請由以下連結網址留下資料，全台的紅娘會為您服務。留下資料，才有機會遇見你的另一半。https://goo.gl/8vxFq6",單身關愛社 (未婚 交友 婚友 聯誼),video,0,0,0,0
10,148495815169294,全台夜市通,2017-10-03 13:00:11,2017-10-03 13:00:11,https://www.facebook.com/match.tw/videos/1438918136163438/,"這隻貓咪被送到寵物醫院時，害醫生笑到差點送醫，一看就不是什麼正經貓！～

? 全省大齡優質男女交友結婚保證方案!請由以下連結網址留下資料，全台的紅娘會為您服務。留下資料，才有機會遇見你的另一半。https://goo.gl/8vxFq6",單身關愛社 (未婚 交友 婚友 聯誼),video,0,0,0,1
