1.05091E+13,20160909007,6,61,,貓,F,SMALL,黑,CHILD,F,N,龍潭區,,OPEN,,,2016/9/9,2999/12/31,2017/7/9 18:47,2016/9/9 16:17,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/5dbb4eb211c61975a09fa845774610c6.jpg,,,2017-07-10T00:01:32.157,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765
1.05091E+13,20160909008,6,61,,貓,F,SMALL,其他,CHILD,F,N,龍潭區,,OPEN,,,2016/9/9,2999/12/31,2017/7/9 18:46,2016/9/9 16:17,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/34331c62502aac62ceb76c4483c48a12.jpg,,,2017-07-10T00:01:32.173,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765
1.05091E+13,20160909009,6,61,,貓,F,MEDIUM,虎斑,ADULT,F,N,中壢區,,OPEN,,,2016/9/9,2999/12/31,2017/7/9 18:46,2016/9/9 16:17,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/eeec033dd59d2f9ea210c4bc5298e4d0.jpg,,,2017-07-10T00:01:32.19,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765
1.05091E+13,20160909010,6,61,,貓,M,SMALL,虎斑,CHILD,F,N,桃園區,,OPEN,,,2016/9/9,2999/12/31,2017/7/9 18:46,2016/9/9 16:17,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/e1af0629f26f4addd7fa77ff9de0de2a.jpg,,,2017-07-10T00:01:32.22,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765
1.05091E+13,20160909011,6,61,,貓,F,SMALL,虎斑,CHILD,F,N,桃園區,,OPEN,,,2016/9/9,2999/12/31,2017/7/9 18:46,2016/9/9 16:17,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/3c2bbca00bde018058703c93d376496e.jpg,,,2017-07-10T00:01:32.233,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765
1.06053E+13,106052601,2,49,臺北市,貓,M,MEDIUM,黃白,ADULT,T,N,,,OPEN,哈囉~我是吉好，我又回到動物之家，雖然我長得很可愛，但我卻不是乖乖牌唷~我需要您花耐心及時間陪伴，慢慢讓我對你敞開心房喔!!,23992,2017/6/1,2999/12/31,2017/7/9 18:46,2017/5/26 16:59,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/7ec40b82c9121f4679ac63a9d38ad395.jpg,,,2017-07-10T00:02:56.643,臺北市內湖區潭美街852號,02-87913254;02-87913255
1.0408E+13,104080205,2,49,臺北市,狗,M,MEDIUM,黑,ADULT,F,N,玉成公園,,OPEN,健康、行為評估:已絕育、施打狂犬及預防針；友善、可摸。 大家好，我叫仔仔， 我的體型比較小。 歷經風霜的我還是希望有一個安享晚年的家， 我在動物之家等你唷^^,17295,2015/8/7,2999/12/31,2017/7/9 18:46,2015/8/2 15:55,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/fd8c6524cc65b26c9ac764ac45bce786.jpg,,,2017-07-10T00:00:05.813,臺北市內湖區潭美街852號,02-87913254;02-87913255
1.05011E+13,10412296016,10,91,中途動物醫院,狗,F,MEDIUM,其他黑棕,CHILD,T,N,,,OPEN,"我在北屯區""永信動物醫院""等待主人的愛心認養喔！聯絡電話：04-24371487",,2016/1/18,2999/12/31,2017/7/9 18:46,2016/1/11 11:37,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/9edc8702ea575d6719ba650552ade847.png,,,2017-07-10T00:00:32.393,,
1.04071E+13,104070908,2,49,臺北市,狗,M,MEDIUM,棕黑,ADULT,F,N,新湖一路、行愛路交接口,,OPEN,左後截肢(腫瘤)、有發現轉移,17065,2015/9/11,2999/12/31,2017/7/9 18:46,2015/7/9 15:09,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/36def90f27156fa3860ccab1d6d6e2d7.jpg,,,2017-07-10T00:00:09.133,臺北市內湖區潭美街852號,02-87913254;02-87913255
1.05122E+13,20161215012,6,61,,狗,F,SMALL,黑,CHILD,F,N,新屋區,,OPEN,,,2016/12/15,2999/12/31,2017/7/9 18:46,2016/12/15 15:59,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/f5f4b73e47c460b727e0513c82349f3c.jpg,,,2017-07-10T00:02:01.79,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765
